Belgium,Region,Year,Month,Number of bankruptcies
Belgium,Flanders region,2000,Jan-00,334
Belgium,Flanders region,2000,Feb-00,318
Belgium,Flanders region,2000,Mar-00,362
Belgium,Flanders region,2000,Apr-00,296
Belgium,Flanders region,2000,May-00,300
Belgium,Flanders region,2000,Jun-00,342
Belgium,Flanders region,2000,Jul-00,215
Belgium,Flanders region,2000,Aug-00,185
Belgium,Flanders region,2000,Sep-00,343
Belgium,Flanders region,2000,Oct-00,333
Belgium,Flanders region,2000,Nov-00,316
Belgium,Flanders region,2000,Dec-00,252
Belgium,Flanders region,2001,Jan-01,320
Belgium,Flanders region,2001,Feb-01,324
Belgium,Flanders region,2001,Mar-01,343
Belgium,Flanders region,2001,Apr-01,295
Belgium,Flanders region,2001,May-01,301
Belgium,Flanders region,2001,Jun-01,367
Belgium,Flanders region,2001,Jul-01,196
Belgium,Flanders region,2001,Aug-01,182
Belgium,Flanders region,2001,Sep-01,342
Belgium,Flanders region,2001,Oct-01,361
Belgium,Flanders region,2001,Nov-01,333
Belgium,Flanders region,2001,Dec-01,330
Belgium,Flanders region,2002,Jan-02,345
Belgium,Flanders region,2002,Feb-02,323
Belgium,Flanders region,2002,Mar-02,365
Belgium,Flanders region,2002,Apr-02,323
Belgium,Flanders region,2002,May-02,316
Belgium,Flanders region,2002,Jun-02,358
Belgium,Flanders region,2002,Jul-02,235
Belgium,Flanders region,2002,Aug-02,169
Belgium,Flanders region,2002,Sep-02,430
Belgium,Flanders region,2002,Oct-02,409
Belgium,Flanders region,2002,Nov-02,407
Belgium,Flanders region,2002,Dec-02,341
Belgium,Flanders region,2003,Jan-03,326
Belgium,Flanders region,2003,Feb-03,374
Belgium,Flanders region,2003,Mar-03,364
Belgium,Flanders region,2003,Apr-03,349
Belgium,Flanders region,2003,May-03,300
Belgium,Flanders region,2003,Jun-03,385
Belgium,Flanders region,2003,Jul-03,304
Belgium,Flanders region,2003,Aug-03,196
Belgium,Flanders region,2003,Sep-03,443
Belgium,Flanders region,2003,Oct-03,414
Belgium,Flanders region,2003,Nov-03,325
Belgium,Flanders region,2003,Dec-03,388
Belgium,Flanders region,2004,Jan-04,356
Belgium,Flanders region,2004,Feb-04,386
Belgium,Flanders region,2004,Mar-04,444
Belgium,Flanders region,2004,Apr-04,387
Belgium,Flanders region,2004,May-04,327
Belgium,Flanders region,2004,Jun-04,448
Belgium,Flanders region,2004,Jul-04,225
Belgium,Flanders region,2004,Aug-04,182
Belgium,Flanders region,2004,Sep-04,460
Belgium,Flanders region,2004,Oct-04,411
Belgium,Flanders region,2004,Nov-04,342
Belgium,Flanders region,2004,Dec-04,361
Belgium,Flanders region,2005,Jan-05,377
Belgium,Flanders region,2005,Feb-05,331
Belgium,Flanders region,2005,Mar-05,428
Belgium,Flanders region,2005,Apr-05,340
Belgium,Flanders region,2005,May-05,352
Belgium,Flanders region,2005,Jun-05,461
Belgium,Flanders region,2005,Jul-05,221
Belgium,Flanders region,2005,Aug-05,198
Belgium,Flanders region,2005,Sep-05,422
Belgium,Flanders region,2005,Oct-05,329
Belgium,Flanders region,2005,Nov-05,320
Belgium,Flanders region,2005,Dec-05,375
Belgium,Flanders region,2006,Jan-06,364
Belgium,Flanders region,2006,Feb-06,351
Belgium,Flanders region,2006,Mar-06,380
Belgium,Flanders region,2006,Apr-06,319
Belgium,Flanders region,2006,May-06,322
Belgium,Flanders region,2006,Jun-06,386
Belgium,Flanders region,2006,Jul-06,221
Belgium,Flanders region,2006,Aug-06,187
Belgium,Flanders region,2006,Sep-06,343
Belgium,Flanders region,2006,Oct-06,342
Belgium,Flanders region,2006,Nov-06,365
Belgium,Flanders region,2006,Dec-06,313
Belgium,Flanders region,2007,Jan-07,356
Belgium,Flanders region,2007,Feb-07,337
